Number,Color scheme,Color,Item,Gender,Have Image?
1,1,white,dress,F,1
1,1,blue,dress,F,1
1,1,red,dress,F,1
1,1,yellow,dress,F,1
2,1,white,billiardball,F,1
2,1,blue,billiardball,F,1
2,1,red,billiardball,F,1
2,1,yellow,billiardball,F,1
3,1,white,binder,F,1
3,1,blue,binder,F,1
3,1,red,binder,F,1
3,1,yellow,binder,F,1
4,1,white,book,F,1
4,1,blue,book,F,1
4,1,red,book,F,1
4,1,yellow,book,F,1
5,1,white,bracelet,F,1
5,1,blue,bracelet,F,1
5,1,red,bracelet,F,1
5,1,yellow,bracelet,F,1
6,1,white,bucket,F,1
6,1,blue,bucket,F,1
6,1,red,bucket,F,1
6,1,yellow,bucket,F,1
7,1,white,candle,F,1
7,1,blue,candle,F,1
7,1,red,candle,F,1
7,1,yellow,candle,F,1
8,1,white,chair,F,1
8,1,blue,chair,F,1
8,1,red,chair,F,1
8,1,yellow,chair,F,1
9,1,white,guitar,F,1
9,1,blue,guitar,F,1
9,1,red,guitar,F,1
9,1,yellow,guitar,F,1
10,1,white,mug,F,1
10,1,blue,mug,F,1
10,1,red,mug,F,1
10,1,yellow,mug,F,1
11,1,white,napkin,F,1
11,1,blue,napkin,F,1
11,1,red,napkin,F,1
11,1,yellow,napkin,F,1
12,1,white,ornament,F,1
12,1,blue,ornament,F,1
12,1,red,ornament,F,1
12,1,yellow,ornament,F,1
13,1,white,shoe,F,1
13,1,blue,shoe,F,1
13,1,red,shoe,F,1
13,1,yellow,shoe,F,1
14,1,white,stapler,F,1
14,1,blue,stapler,F,1
14,1,red,stapler,F,1
14,1,yellow,stapler,F,1
15,1,white,notebook,F,1
15,1,blue,notebook,F,1
15,1,red,notebook,F,1
15,1,yellow,notebook,F,1
16,1,white,yarn,F,1
16,1,blue,yarn,F,1
16,1,red,yarn,F,1
16,1,yellow,yarn,F,1
17,1,blue,door,F,1
17,1,yellow,door,F,1
17,1,red,door,F,1
17,1,white,door,F,1
18,1,blue,mask,F,1
18,1,yellow,mask,F,1
18,1,red,mask,F,1
18,1,white,mask,F,1
19,1,blue,shirt,F,1
19,1,yellow,shirt,F,1
19,1,red,shirt,F,1
19,1,white,shirt,F,1
20,1,blue,pencil,F,1
20,1,yellow,pencil,F,1
20,1,red,pencil,F,1
20,1,white,pencil,F,1
21,1,blue,iron,F,1
